rapport_titel	search_title	matched_title	match_score	match_source	rep_nwoorden	rep_ttr	rep_hapax_ratio	rep_gem_zinslengte	rep_ratio_nominalisaties	rep_formele_taal_ratio	rep_ratio_afkortingen	category	report_type
Begrotingsreserves; Het opzij zetten van geld als begrotingsinstrument	Begrotingsreserves; Het opzij zetten van geld als begrotingsinstrument		0.0										thematisch
Beantwoording vragen Tweede Kamer over het Rapport bij de Nationale verklaring 2016	bij de Nationale verklaring 2016	Rapport bij de Nationale verklaring 2016	88.9	excel	4135.0	0.2571	0.5644	27.34	6.43	0.4837	4.35	RIJKS	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van BZK	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van BZK	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Defensie	92.1	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Financiën	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Financiën	Resultaten verantwoordingsonderzoek 2014 bij het Ministerie van Financiën	98.6	meta								FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Infrastructuur en Milieu	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Infrastructuur en Milieu	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Infrastructuur en Milieu	100.0	meta								IenW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	100.0	meta								OCW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2015 Wonen en Rijksdienst	over de Resultaten verantwoordingsonderzoek 2015 Wonen en Rijksdienst	Resultaten verantwoordingsonderzoek 2015 bij Wonen en Rijksdienst	92.5	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2015 bij het Ministerie van Defensie	100.0	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het rapport Staat van de rijksverantwoording 2015	Staat van de rijksverantwoording 2015	Staat van de rijksverantwoording 2015	100.0	meta								RIJKS	thematisch
Beantwoording vragen Tweede Kamer bij Rekenkamerrapport Aanpak van laaggeletterdheid	bij Rekenkamerrapport Aanpak van laaggeletterdheid	Aanpak van laaggeletterdheid	71.8	excel	4815.0	0.216	0.5481	24.26	3.32	0.3763	1.14	INTER	thematisch
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij de Koning	over de Resultaten verantwoordingsonderzoek 2016 bij de Koning	Resultaten verantwoordingsonderzoek 2015 bij de Koning	91.4	meta								AZ	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij de Overige Hoge Colleges van Staat	over de Resultaten verantwoordingsonderzoek 2016 bij de Overige Hoge Colleges van Staat	Resultaten verantwoordingsonderzoek 2024 Overige Hoge Colleges van Staat	88.1	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij de Staten-Generaal	over de Resultaten verantwoordingsonderzoek 2016 bij de Staten-Generaal	Resultaten verantwoordingsonderzoek 2016 bij de Staten-Generaal	94.0	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Economische Zaken	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Economische Zaken	Resultaten verantwoordingsonderzoek 2014 bij het Ministerie van Economische Zaken	98.8	meta								EZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Infrastructuur en Milieu	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Infrastructuur en Milieu	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Infrastructuur en Milieu	100.0	meta								IenW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van SZW	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van SZW	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	90.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	100.0	meta								JenV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2021 Ministerie van Financiën en Nationale Schuld	94.4	meta								FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Rapport bij de Nationale verklaring 2017	bij de Nationale verklaring 2017	Rapport bij de Nationale verklaring 2017	88.9	excel	4238.0	0.2251	0.565	34.77	6.96	0.4691	4.65	RIJKS	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van BZK	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van BZK	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	92.1	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van VWS	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van VWS	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	90.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij Wonen en Rijksdienst	over de Resultaten verantwoordingsonderzoek 2016 bij Wonen en Rijksdienst	Resultaten verantwoordingsonderzoek 2016 bij Wonen en Rijksdienst	94.2	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer bij rapport Vastgoed universiteiten	bij rapport Vastgoed universiteiten	Vastgoed universiteiten	79.3	excel	4247.0	0.2418	0.5482	26.75	6.5	0.4516	0.97	OCW	thematisch
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Economische Zaken	Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Economische Zaken	Resultaten verantwoordingsonderzoek 2014 bij het Ministerie van Economische Zaken	98.8	meta								EZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2021 Ministerie van Financiën en Nationale Schuld	94.4	meta								FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van IenM	Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van IenM	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	92.9	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	98.8	meta								JenV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van VWS	Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van VWS	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	89.2	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten Verantwoordingsonderzoek 2017 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten Verantwoordingsonderzoek 2017 bij het Ministerie van Onderwijs, Cultuur en Wetenschap	Resultaten verantwoordingsonderzoek 2017 Ministerie van Onderwijs, Cultuur en Wetenschap	75.0	meta								OCW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over brief 5 april 2018 inzake kabinetsreactie op rapport Adviescommissie Verslaggevingsstelsel rijksoverheid	over brief 5 april 2018 inzake kabinetsreactie op rapport Adviescommissie Verslaggevingsstelsel rijksoverheid	Reactie op rapportage Adviescommissie Verslaggevingsstelsel rijksoverheid	68.1	excel	611.0	0.4828	0.7254	25.29	4.75	0.4272	3.11		overig
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van het gemeentefonds	Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van het gemeentefonds	Resultaten verantwoordingsonderzoek 2017 Wonen en Rijksdienst	72.7	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van Wonen en Rijksdienst	Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van Wonen en Rijksdienst	Resultaten verantwoordingsonderzoek 2016 bij Wonen en Rijksdienst	85.3	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017: de Staat van de rijksverantwoording	over de Resultaten verantwoordingsonderzoek 2017: de Staat van de rijksverantwoording	Resultaten verantwoordingsonderzoek 2017 Staten-Generaal	72.3	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over het Rapport bij de Nationale Verklaring 2018	bij de Nationale Verklaring 2018	Rapport bij de Nationale Verklaring 2020	83.3	excel	4343.0	0.2208	0.5777	33.99	6.72	0.4421	4.86	FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Resultaten verantwoordingsonderzoek 2017 bij het jaarverslag van het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	90.4	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	98.6	meta								DEF	verantwoordingsonderzoek
Brexit Voorbereiding op financiële en economische gevolgen, en consequenties voor de Douane	Brexit Voorbereiding op financiële en economische gevolgen, en consequenties voor de Douane		0.0										thematisch
Beantwoording vraag Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij Koninkrijksrelaties	Beantwoording vraag Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij Koninkrijksrelaties	Resultaten verantwoordingsonderzoek 2016 bij Koninkrijksrelaties en BES-fonds	75.8	meta								BZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van BZK	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van BZK	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	90.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Economische Zaken en Klimaat (XIII), Ministerie van Landbouw, Natuur en Voedselkwaliteit en Diergezondheidsfonds (F)	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Economische Zaken en Klimaat (XIII), Ministerie van Landbouw, Natuur en Voedselkwaliteit en Diergezondheidsfonds (F)	Resultaten verantwoordingsonderzoek 2018 Ministerie van Economische Zaken en Klimaat, Ministerie van Landbouw, Natuur en Voedselkwaliteit en Diergezondheidsfonds	93.8	meta								EZK	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Financiën en Nationale Schuld	Resultaten verantwoordingsonderzoek 2018 Ministerie van Financiën en Nationale Schuld	95.5	meta								FIN	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Infrastructuur en Waterstaat	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Infrastructuur en Waterstaat	Resultaten verantwoordingsonderzoek 2018 Ministerie van Infrastructuur en Waterstaat	95.5	meta								IenW	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Defensie	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	98.6	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van Justitie en Veiligheid	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Veiligheid en Justitie	98.8	meta								JenV	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van SZW	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van SZW	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	89.2	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van VWS	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van VWS	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	89.2	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van OCW	Resultaten verantwoordingsonderzoek 2018 bij het Ministerie van OCW	Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Defensie	89.2	meta								DEF	verantwoordingsonderzoek
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2018: de Staat van de rijksverantwoording 2018	over de Resultaten verantwoordingsonderzoek 2018: de Staat van de rijksverantwoording 2018	Resultaten verantwoordingsonderzoek 2021 Staten-Generaal	69.9	meta								BZK	verantwoordingsonderzoek
Mestvervuiling veehouderij: Vervolgonderzoek duurzaamheid veehouderij 2019	Mestvervuiling veehouderij: Vervolgonderzoek duurzaamheid veehouderij 2019		0.0										thematisch
Ouderdomsregelingen ontleed	Ouderdomsregelingen ontleed	Ouderdomsregelingen ontleed	100.0	excel	4616.0	0.1969	0.4983	20.0	5.94	0.3912	8.56	SZW	thematisch
Autobelastingen als beleidsinstrument	Autobelastingen als beleidsinstrument	Autobelastingen als beleidsinstrument	100.0	excel	4408.0	0.2219	0.5654	25.32	3.86	0.4258	3.29	FIN	thematisch
Hilversum in beeld	Hilversum in beeld	Hilversum in beeld	100.0	excel	4662.0	0.2583	0.5764	21.39	4.35	0.4296	3.73	OCW	thematisch
Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2019 begrotingshoofdstuk De Koning (I)	over de Resultaten verantwoordingsonderzoek 2019 begrotingshoofdstuk De Koning (I)	Resultaten verantwoordingsonderzoek 2016 bij De Koning	76.5	meta								AZ	verantwoordingsonderzoek
